unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1089006_084,xc,XC1089006,113.81260770975057,114.04480725623584,232,-1,7.319,True,2.98,5.25
xc_XC1089006_085,xc,XC1089006,114.41632653061224,114.67174603174604,255,8,5.821,False,1.13,-1.89
xc_XC1089006_086,xc,XC1089006,115.26965986394558,115.3102947845805,40,-1,5.862,False,-1.8,4.52
xc_XC1089006_087,xc,XC1089006,115.36253968253968,115.50185941043084,139,29,7.046,True,7.03,13.16
xc_XC1089006_088,xc,XC1089006,118.43337868480724,118.61913832199546,185,-1,7.037,True,3.33,9.75
xc_XC1089006_089,xc,XC1089006,122.13115646258504,122.31691609977324,185,8,5.778,False,1.33,-1.49
xc_XC1089006_090,xc,XC1089006,124.77242630385489,124.95238095238096,179,8,6.429,True,1.37,-2.22
xc_XC1089006_091,xc,XC1089006,127.3034013605442,127.558820861678,255,8,6.137,True,1.91,-0.45
xc_XC1089006_092,xc,XC1089006,128.95201814058956,129.015873015873,63,8,7.684,True,0.86,-0.1
xc_XC1089006_093,xc,XC1089006,129.0855328798186,129.29451247165534,208,30,6.375,True,4.06,8.22
xc_XC1089006_094,xc,XC1089006,130.61804988662132,130.77478458049887,156,8,7.1,True,1.44,-2.09
xc_XC1089006_095,xc,XC1089006,131.4017233560091,131.56426303854877,162,24,7.521,True,6.65,13.21
xc_XC1089006_096,xc,XC1089006,132.23183673469387,132.4117913832199,179,15,7.607,True,6.4,13.1
xc_XC1089006_097,xc,XC1089006,132.78331065759636,132.97487528344672,191,-1,7.121,True,6.51,12.7
xc_XC1089006_098,xc,XC1089006,134.64090702947846,134.797641723356,156,8,6.63,True,1.87,-0.94
xc_XC1089006_099,xc,XC1089006,134.80344671201814,134.82666666666665,23,8,6.397,True,-1.64,4.43
xc_XC1089007_000,xc,XC1089007,1.9446712018140584,2.1768707482993195,232,8,4.539,False,0.25,-2.17
xc_XC1089007_001,xc,XC1089007,3.0069841269841264,3.268208616780045,261,8,4.876,False,1.83,-1.74
xc_XC1089007_002,xc,XC1089007,6.060408163265305,6.246167800453513,185,8,5.213,False,1.12,-2.14
